RAJ2000,DEJ2000,zph,zsp,LBr,LBi,LTr,LTi,Ngal,NR200
130.88474,41.53714,0.248,0.25525,10.18,13.21,72.3,90.9,33,36
211.21539,47.08448,0.24,0.23782,7.88,9.89,82,101.3,39,53
180.70664,8.33689,0.208,9.7,11.82,66.8,81.5,41,47,
149.36205,49.31591,0.238,0.24144,11.55,14.36,52.5,65,24,26
139.70922,2.20089,0.278,0.28392,9.96,12.3,42.8,52.7,24,24
11.30431,15.47497,0.273,0.24868,12.07,14.92,59.8,74.3,26,27
187.00902,34.67754,0.27,8.72,10.56,77.7,93.9,36,50,
191.04632,14.4825,0.275,11.28,14.55,35.5,44.8,17,16,
184.13622,27.17654,0.275,6.71,8.68,48.9,62.2,30,36,
124.97693,56.5764,0.292,15.8,19.87,43.6,53.9,22,22,
240.21396,33.20165,0.3,0.28349,14.01,17.7,49.8,62.8,21,21
253.94527,45.42087,0.289,11.33,14.29,75.8,94.6,34,42,
252.01576,33.69714,0.3,0.32049,8.21,9.81,72.7,90.4,36,41
247.06319,43.81344,0.284,0.2749,9.61,11.92,67.5,84.1,31,36
239.22644,24.66918,0.178,8.98,11.29,98.5,122.3,40,64,
349.00297,-9.8654,0.278,0.27148,11.54,14.22,50.1,62.3,24,25
227.87163,14.66091,0.192,11.1,13.42,94.2,114.1,42,59,
245.12969,29.89103,0.108,0.09601,8.97,11.27,72.5,90,37,49
321.15313,-0.52216,0.24,0.23494,12.63,15.51,57.3,70.2,25,26
166.23149,47.42103,0.216,0.21877,9.36,11.51,68.3,83.6,37,41
202.37294,31.32919,0.289,14.12,16.74,60.9,73.9,26,29,
240.83266,25.45373,0.103,8.52,10.54,52.2,64.5,27,30,
185.67208,2.0997,0.232,0.22865,7.85,10.1,60.7,75.6,26,29
144.13269,23.70985,0.23,12.91,15.33,50.6,61.1,27,28,
162.83298,5.09235,0.219,0.22501,8.9,10.92,60.4,75.5,31,34
338.2441,-9.05971,0.259,0.25268,8.29,10.45,76.8,95.2,37,43
200.58774,4.13417,0.278,0.26457,9.66,12.01,44.3,54.1,23,24
147.70858,-0.88773,0.281,0.27148,9.67,11.81,43.9,53.8,21,20
219.5694,40.59165,0.203,0.21588,10.24,13.18,45.1,56.8,31,32
223.98054,16.96291,0.292,10.06,12.54,33.6,41.6,21,21,
193.78694,65.02239,0.3,0.31374,9.61,11.79,57.2,70.9,26,28
192.65428,31.31473,0.257,15.07,18.13,54.1,65.9,29,29,
152.19592,11.8297,0.259,0.26134,8.12,9.81,54.6,66.9,31,36
183.28135,34.1762,0.224,9.74,12.86,43.1,54.8,27,31,
140.1042,5.11948,0.262,0.2652,10.12,12.99,49.7,62.3,25,25
250.12276,23.61685,0.267,0.25875,12.17,14.46,59.2,70.6,29,31
214.55612,9.87736,0.297,8.73,10.93,46.7,58,25,27,
127.38355,4.02558,0.227,0.21544,11.62,14.41,58.8,72.9,30,36
154.93446,-0.6383,0.103,0.09359,10.71,13.49,21.3,26.6,16,14
155.91636,49.14401,0.14,0.1422,10.15,12.58,51.8,64.2,26,32
182.92986,8.01896,0.265,18.49,24.32,37.1,47.5,16,16,
147.33926,19.90722,0.297,10.6,13.28,35.4,43.8,18,17,
223.65461,54.42313,0.113,0.0995,7.98,10.11,99.3,123.4,40,55
211.42973,13.96988,0.281,0.29763,9.86,12.48,33.4,41.9,21,20
184.90502,-3.30952,0.3,0.3,9.78,11.89,54.7,68.1,25,26
322.61229,-0.00677,0.143,0.13748,13.23,16.28,56.2,69.2,29,30
212.30179,31.16807,0.197,13.07,15.82,43.8,53,26,27,
193.90444,34.94598,0.184,11.47,13.85,61.4,74.4,37,42,
8.97972,0.35646,0.254,0.2592,10.31,12.92,48.6,60.2,25,27
163.02662,32.32527,0.3,13.09,16.1,53.1,64.6,23,23,
223.48924,28.11544,0.259,14.61,17.33,69.7,84.2,27,32,
164.09553,27.16887,0.254,10.67,12.89,48.3,58.5,26,30,
179.03396,44.18289,0.297,0.29705,12.83,16.04,48.4,60,22,22
181.51481,37.8171,0.254,11.5,14.57,69.3,85.7,25,30,
234.52138,12.29864,0.24,11.68,14.41,58.5,71.7,23,23,
172.98572,39.10784,0.254,14.18,17.02,73.3,86.8,32,35,
189.67291,9.47578,0.232,0.2299,9.66,12.14,35.3,44,22,22
113.71128,39.52694,0.23,0.22024,12.3,15.71,42.7,53.1,24,24
158.75066,30.69394,0.132,9.03,11.27,46.5,57.7,30,34,
166.32551,6.88857,0.254,0.23442,18.48,21.88,46.5,55.8,20,20
229.89054,4.33798,0.103,0.10209,7.89,9.87,35,43.5,27,31
222.87297,42.59296,0.213,0.20443,13.7,16.92,32.9,40.8,20,20
246.67721,42.66993,0.189,0.18702,9.37,11.52,45.3,56.6,28,33
112.78428,43.19836,0.208,13.37,16.56,43.4,53.4,22,22,
28.95275,14.6959,0.243,0.24822,10.76,13.37,34.7,43.5,21,20
16.01845,-0.43447,0.273,0.27902,9.79,11.94,40.2,49.7,24,24
